letter,synapses,sex,treatment,time,ID,P1,P2,X,Y,age,animal,category,cell,notes,days_alone,animal_or_slicing_problems,R_a
AO,Glutamate,Male,Control,0,23623002,-17.37,-78.41,NA,NA,39,17,2,17.1.1,,1,no,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
AO,Glutamate,Male,Control,0.08,23623002,-24.14,-58.93,NA,NA,39,17,2,17.1.1,,1,no,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
AO,Glutamate,Male,Control,0.17,23623002,-35.6,-60.02,NA,NA,39,17,2,17.1.1,,1,no,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
AO,Glutamate,Male,Control,0.25,23623002,-15.82,-32.3,NA,NA,39,17,2,17.1.1,,1,no,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
AO,Glutamate,Male,Control,0.33,23623002,-53.91,-26.45,NA,NA,39,17,2,17.1.1,,1,no,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
AO,Glutamate,Male,Control,0.42,23623002,-45.48,-74.78,NA,NA,39,17,2,17.1.1,,1,no,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
AO,Glutamate,Male,Control,0.5,23623002,-28.13,-69.64,NA,NA,39,17,2,17.1.1,,1,no,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
AO,Glutamate,Male,Control,0.58,23623002,-27.81,-61.99,NA,NA,39,17,2,17.1.1,,1,no,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
AO,Glutamate,Male,Control,0.67,23623002,-60.01,-52.68,NA,NA,39,17,2,17.1.1,,1,no,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
AO,Glutamate,Male,Control,0.75,23623002,-46.89,-60.32,NA,NA,39,17,2,17.1.1,,1,no,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
AO,Glutamate,Male,Control,0.83,23623002,-47.01,-67.15,NA,NA,39,17,2,17.1.1,,1,no,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
AO,Glutamate,Male,Control,0.92,23623002,-40.36,-72.09,NA,NA,39,17,2,17.1.1,,1,no,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
AO,Glutamate,Male,Control,1,23623002,-31.1,-64.67,NA,NA,39,17,2,17.1.1,,1,no,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
AO,Glutamate,Male,Control,1.08,23623002,-64.87,-51.44,NA,NA,39,17,2,17.1.1,,1,no,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
AO,Glutamate,Male,Control,1.17,23623002,-27.88,-24.83,NA,NA,39,17,2,17.1.1,,1,no,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
AO,Glutamate,Male,Control,1.25,23623002,-11.46,-28.55,NA,NA,39,17,2,17.1.1,,1,no,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
AO,Glutamate,Male,Control,1.33,23623002,-54.54,-62.47,NA,NA,39,17,2,17.1.1,,1,no,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
AO,Glutamate,Male,Control,1.42,23623002,-37.18,-44.51,NA,NA,39,17,2,17.1.1,,1,no,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
AO,Glutamate,Male,Control,1.5,23623002,-17.35,-20.4,NA,NA,39,17,2,17.1.1,,1,no,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
AO,Glutamate,Male,Control,1.58,23623002,-61.64,-22.57,NA,NA,39,17,2,17.1.1,,1,no,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
AO,Glutamate,Male,Control,1.67,23623002,-28.74,-63.53,NA,NA,39,17,2,17.1.1,,1,no,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
AO,Glutamate,Male,Control,1.75,23623002,-52.63,-41.03,NA,NA,39,17,2,17.1.1,,1,no,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
AO,Glutamate,Male,Control,1.83,23623002,-23.29,-44.04,NA,NA,39,17,2,17.1.1,,1,no,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
AO,Glutamate,Male,Control,1.92,23623002,-68.25,-41.4,NA,NA,39,17,2,17.1.1,,1,no,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
AO,Glutamate,Male,Control,2,23623002,-9.33,-65.48,NA,NA,39,17,2,17.1.1,,1,no,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
AO,Glutamate,Male,Control,2.08,23623002,-64.55,-54.79,NA,NA,39,17,2,17.1.1,,1,no,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
AO,Glutamate,Male,Control,2.17,23623002,-30.46,-65.25,NA,NA,39,17,2,17.1.1,,1,no,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
AO,Glutamate,Male,Control,2.25,23623002,-49.18,-51.01,NA,NA,39,17,2,17.1.1,,1,no,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
AO,Glutamate,Male,Control,2.33,23623002,-78.31,-29.48,NA,NA,39,17,2,17.1.1,,1,no,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
AO,Glutamate,Male,Control,2.42,23623002,-23.58,-8.32,NA,NA,39,17,2,17.1.1,,1,no,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
AO,Glutamate,Male,Control,2.5,23623002,-43.36,-42.14,NA,NA,39,17,2,17.1.1,,1,no,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
AO,Glutamate,Male,Control,2.58,23623002,-10.75,-71.17,NA,NA,39,17,2,17.1.1,,1,no,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
AO,Glutamate,Male,Control,2.67,23623002,-40.47,-28.87,NA,NA,39,17,2,17.1.1,,1,no,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
