letter,ID,P1,P2
AV,23629011.abf,20.82,75.76
AV,23629011.abf,42.13,78.75
AV,23629011.abf,30.72,105.79
AV,23629011.abf,68.35,41.5
AV,23629011.abf,38.77,84.55
AV,23629011.abf,57.7,70.52
AV,23629011.abf,20.06,28
AV,23629011.abf,33.5,95.14
AV,23629011.abf,94.21,47.82
AV,23629011.abf,59.42,42.94
AV,23629011.abf,70.27,87.97
AV,23629011.abf,56.1,33.52
AV,23629011.abf,67.85,97.15
AV,23629011.abf,20.7,62.21
AV,23629011.abf,67.19,40.94
AV,23629011.abf,84.04,113.95
AV,23629011.abf,98.8,31.05
AV,23629011.abf,33.18,58.2
AV,23629011.abf,26.93,65.99
AV,23629011.abf,58.55,50.61
AV,23629011.abf,86.21,30.06
AV,23629011.abf,71.77,44.92
AV,23629011.abf,52.01,66.05
AV,23629011.abf,49.66,46.61
AV,23629011.abf,83.42,46.8
AV,23629011.abf,65.29,60.41
AV,23629011.abf,28.86,152.15
AV,23629011.abf,82.53,44.08
AV,23629011.abf,86.75,28.16
AV,23629011.abf,68.8,54.76
AV,23629011.abf,66.34,37.66
AV,23629011.abf,64.01,48.15
AV,23629011.abf,53.86,33.1
AV,23629011.abf,70.42,57.6
AV,23629011.abf,45.58,51.07
AV,23629011.abf,73.89,52.53
AV,23629011.abf,27.59,56.28
AV,23629011.abf,87.25,28.65
AV,23629011.abf,47.53,47.53
AV,23629011.abf,43.72,84.61
AV,23629011.abf,56.18,82.43
AV,23629011.abf,85.15,20.45
AV,23629011.abf,77.06,33.72
AV,23629011.abf,67.97,63.09
AV,23629011.abf,50.06,37.86
AV,23629011.abf,80.35,23.59
AV,23629011.abf,96.23,29.71
AV,23629011.abf,66.33,40.08
AV,23629011.abf,49.13,48.52
AV,23629011.abf,49.41,74.43
AV,23629011.abf,112.38,23.27
AV,23629011.abf,18.4,17.79
AV,23629011.abf,73.43,29.48
AV,23629011.abf,29.21,25.55
AV,23629011.abf,25.25,46
AV,23629011.abf,45.78,67.76
AV,23629011.abf,41.55,43.38
AV,23629011.abf,59.83,29.31
AV,23629011.abf,34.98,53.9
AV,23629011.abf,55.71,34.35
AV,23629011.abf,30.01,19.64
AV,23629011.abf,19.84,38.15
AV,23629011.abf,45.49,26.57
AV,23629011.abf,23.94,58.12
AV,23629011.abf,24.68,20.41
AV,23629011.abf,42.68,46.35
AV,23629011.abf,38.34,30.41
AV,23629011.abf,61.48,36.46
AV,23629011.abf,38.7,28.94
AV,23629011.abf,48.19,43.3
AV,23629011.abf,39.72,25.68
AV,23629011.abf,15.14,70.68
AV,23629011.abf,29.64,15.6
AV,23629011.abf,66.77,14.89
AV,23629011.abf,58.22,15.49
AV,23629011.abf,48.17,24.98
AV,23629011.abf,27.67,36.82
AV,23629011.abf,57.5,25.76
AV,23629011.abf,57.08,21.68
AV,23629011.abf,36.05,29.34
AV,23629011.abf,57.81,26.07
AV,23629011.abf,56.84,24.49
AV,23629011.abf,19.2,36.29
AV,23629011.abf,33.66,50.75
AV,23629011.abf,59.72,13.94
AV,23629011.abf,17.98,61.32
AV,23629011.abf,69.78,28.28
AV,23629011.abf,52.25,33.33
AV,23629011.abf,52.24,27.83
AV,23629011.abf,32.51,44.11
AV,23629011.abf,33.26,32.04
AV,23629011.abf,37.2,25.6
AV,23629011.abf,18.4,21.45
AV,23629011.abf,11.18,19.72
AV,23629011.abf,19.43,12.71
AV,23629011.abf,16.87,14.43
AV,23629011.abf,38.9,16.93
AV,23629011.abf,15.1,56.6
AV,23629011.abf,28.25,41.68
AV,23629011.abf,15.1,48.06
AV,23629011.abf,14.3,18.57
AV,23629011.abf,22.4,31.55
AV,23629011.abf,17.42,19.25
AV,23629011.abf,11.87,28.96
AV,23629011.abf,17.48,22.97
AV,23629011.abf,22.92,43.06
AV,23629011.abf,16.59,26.97
AV,23629011.abf,16.28,21.16
AV,23629011.abf,22.94,22.33
AV,23629011.abf,18.57,19.18
AV,23629011.abf,20.73,15.85
AV,23629011.abf,13.32,25.53
AV,23629011.abf,22.13,19.69
AV,23629011.abf,27.75,16.16
AV,23629011.abf,11.41,18.74
AV,23629011.abf,32.21,17.56
AV,23629011.abf,22.64,23.25
AV,23629011.abf,11.96,30.88
AV,23629011.abf,16.09,14.26
AV,23629011.abf,14.93,17.37
AV,23629011.abf,24.81,16.26
AV,23629011.abf,14.69,6.75
AV,23629011.abf,24.99,24.99
AV,23629011.abf,27.66,5.69
AV,23629011.abf,12.36,8.7
AV,23629011.abf,5.68,16.05
AV,23629011.abf,4.44,10.54
AV,23629011.abf,15.82,47.56
AV,23629011.abf,14.33,11.28
AV,23629011.abf,27.51,3.71
AV,23629011.abf,4.75,6.59
AV,23629011.abf,6.83,15.98
AV,23629011.abf,9.28,36.14
AV,23629011.abf,5.36,6.59
AV,23629011.abf,9.57,20.56
AV,23629011.abf,23.08,12.7
AV,23629011.abf,9.2,-1.79
AV,23629011.abf,30.33,2.87
AV,23629011.abf,21.03,12.48
AV,23629011.abf,18.9,4.26
AV,23629011.abf,35.78,3.43
AV,23629011.abf,23.01,26.06
AV,23629011.abf,4.87,5.48
AV,23629011.abf,37.3,28.14
AV,23629011.abf,11.39,29.7
AV,23629011.abf,26.57,4.59
AV,23629011.abf,12.19,16.46
AV,23629011.abf,16.42,34.12
AV,23629011.abf,9.19,37.87
